0.00153882,0.0013897,0.00383838,15.38632897
0.00103685,0.0010269,0.00430373,14.61236161
0.00018423,0.00041063,0.00485357,13.78692996
0.00076149,0.00082768,0.00567873,12.82685064
0.00081381,0.00086463,0.006743,11.77826451
0.00219491,0.00186878,0.00511921,13.35144489
0.00276998,0.00227919,0.00681575,11.6852513
-7.149e-05,0.00022603,0.00871076,10.36384883
0.00018537,0.0004123,0.01647602,7.59181977
0.02672374,0.01963656,0.00924954,10.07612067
0.02748918,0.02019725,0.00957148,9.91171228
0.0295823,0.02172276,0.01052846,9.45961352
0.02852662,0.02098033,0.01228818,8.76275306
0.00259908,0.00215278,0.01387388,8.25942649
0.00235231,0.00197509,0.01729903,7.39043301
0.00196452,0.00169483,0.02289904,6.40542941
0.00097899,0.00098385,0.0340419,5.21085818
0.00081377,0.00086451,0.06663519,3.61292929
