BASELINE - Ionosphere Dataset - ari,nmi,sillhouette,db
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874
0.16790201,0.12499704,0.27041248,1.68189874

==============================
