BASELINE - PIE10P Dataset - ari,nmi,sillhouette,db
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684
0.08305329,0.29802418,0.16144706,1.69850684

==============================
