BASELINE - COIL20 Dataset - ari,nmi,sillhouette,db
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074
0.60613162,0.78823468,0.23361131,1.76061074

==============================
