BASELINE - AR10P Dataset - ari,nmi,sillhouette,db
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325
0.01979303,0.17508916,0.14755215,1.65298325

==============================
